Status;Model_Prediction;Prediction_Confidence;Prediction_Correct;Gender;Gender_Label;Age_at_enrollment;International;International_Label;Displaced;Displaced_Label;Marital_status;Course;Admission_grade;Curricular_units_1st_sem_approved;Curricular_units_1st_sem_grade;Curricular_units_2nd_sem_approved;Curricular_units_2nd_sem_grade;Educational_special_needs;Special_Needs_Label;Scholarship_holder;Scholarship_Label;Tuition_fees_up_to_date;Tuition_Label;Debtor;Debtor_Label;Daytime_evening_attendance;Attendance_Label;Probability_Dropout;Probability_Enrolled;Probability_Graduate
Dropout;Dropout;48.33;1;1;👨 Laki-laki (Male);20;0;🇵🇹 Domestik;1;📍 Pindah;1;171;127.3;0;0.0;0;0.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;48.33;16.39;35.27
Graduate;Dropout;48.97;0;1;👨 Laki-laki (Male);19;0;🇵🇹 Domestik;1;📍 Pindah;1;9254;142.5;6;14.0;6;13.666666666666666;0;✓ Tidak;0;❌ Tanpa Beasiswa;0;⚠️ Belum/Menunggak;0;✅ Non-Debtor;1;☀️ Daytime;48.97;14.95;36.09
Dropout;Dropout;99.76;1;1;👨 Laki-laki (Male);19;0;🇵🇹 Domestik;1;📍 Pindah;1;9070;124.8;0;0.0;0;0.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;0;⚠️ Belum/Menunggak;0;✅ Non-Debtor;1;☀️ Daytime;99.76;0.24;0.0
Graduate;Graduate;65.77;1;0;👩 Perempuan (Female);20;0;🇵🇹 Domestik;1;📍 Pindah;1;9773;119.6;6;13.428571428571429;5;12.4;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;10.85;23.37;65.77
Graduate;Graduate;78.83;1;0;👩 Perempuan (Female);45;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;2;8014;141.5;5;12.333333333333334;6;13.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;0;🌙 Evening;10.27;10.9;78.83
Graduate;Graduate;44.74;1;1;👨 Laki-laki (Male);50;0;🇵🇹 Domestik;0;🏠 Tidak Pindah;2;9991;114.8;5;11.857142857142858;5;11.5;0;✓ Tidak;0;❌ Tanpa Beasiswa;1;✅ Bayar Tepat Waktu;1;⚠️ Debtor;0;🌙 Evening;26.58;28.69;44.74
Graduate;Graduate;96.86;1;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9500;128.4;7;13.3;8;14.345;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;0.67;2.48;96.86
Dropout;Dropout;99.56;1;1;👨 Laki-laki (Male);22;0;🇵🇹 Domestik;1;📍 Pindah;1;9254;113.1;0;0.0;0;0.0;0;✓ Tidak;0;❌ Tanpa Beasiswa;0;⚠️ Belum/Menunggak;0;✅ Non-Debtor;1;☀️ Daytime;99.56;0.44;0.0
Graduate;Graduate;93.98;1;0;👩 Perempuan (Female);21;1;🌍 Internasional;0;🏠 Tidak Pindah;1;9238;129.3;6;13.875;6;14.142857142857142;0;✓ Tidak;1;✅ Dengan Beasiswa;1;✅ Bayar Tepat Waktu;0;✅ Non-Debtor;1;☀️ Daytime;1.13;4.89;93.98
Dropout;Dropout;80.19;1;0;👩 Perempuan (Female);18;0;🇵🇹 Domestik;1;📍 Pindah;1;9238;123.0;5;11.4;2;13.5;0;✓ Tidak;0;❌ Tanpa Beasiswa;0;⚠️ Belum/Menunggak;1;⚠️ Debtor;1;☀️ Daytime;80.19;19.49;0.32
